+==============+===============+===========================+
| Launch Clock | Capture Clock | Pin                       |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[958][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[494][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[882][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[518][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[534][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[926][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[430][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[214][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[983][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[518][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[518][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[214][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[607][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[344][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[458][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[858][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[827][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[438][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[515][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[206][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[719][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[535][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[746][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[819][6]/D  |
